Name	Govdirectory URL	Type	Website	source_file
Passabe Administrative Post	https://www.govdirectory.org/east-timor/Q18011665/	administrative post of East Timor		East Timor
Quelicai administrative post	https://www.govdirectory.org/east-timor/Q1768027/	administrative post of East Timor		East Timor
Railaco administrative post	https://www.govdirectory.org/east-timor/Q18706678/	administrative post of East Timor		East Timor
Remexio	https://www.govdirectory.org/east-timor/Q488823/	administrative post of East Timor		East Timor
Same administrative post	https://www.govdirectory.org/east-timor/Q18009232/	administrative post of East Timor		East Timor
Soibada administrative post	https://www.govdirectory.org/east-timor/Q17760024/	administrative post of East Timor		East Timor
Suai administrative post	https://www.govdirectory.org/east-timor/Q18000293/	administrative post of East Timor		East Timor
Tilomar administrative post	https://www.govdirectory.org/east-timor/Q18653443/	administrative post of East Timor		East Timor
Turiscai administrative post	https://www.govdirectory.org/east-timor/Q18009277/	administrative post of East Timor		East Timor
Tutuala administrative post	https://www.govdirectory.org/east-timor/Q17505833/	administrative post of East Timor		East Timor
Uato-Lari administrative post	https://www.govdirectory.org/east-timor/Q19678047/	administrative post of East Timor		East Timor
Uatucarbau administrative post	https://www.govdirectory.org/east-timor/Q2472571/	administrative post of East Timor		East Timor
Vemasse administrative post	https://www.govdirectory.org/east-timor/Q18343063/	administrative post of East Timor		East Timor
Venilale administrative post	https://www.govdirectory.org/east-timor/Q18377233/	administrative post of East Timor		East Timor
Vera Cruz administrative post	https://www.govdirectory.org/east-timor/Q1695150/	administrative post of East Timor		East Timor
Viqueque administrative post	https://www.govdirectory.org/east-timor/Q18002877/	administrative post of East Timor		East Timor
Zumalai Administrative Post	https://www.govdirectory.org/east-timor/Q18674944/	administrative post of East Timor		East Timor
Q124139174	https://www.govdirectory.org/east-timor/Q124139174/	suco of East Timor		East Timor
Q124146083	https://www.govdirectory.org/east-timor/Q124146083/	suco of East Timor		East Timor
Q124175293	https://www.govdirectory.org/east-timor/Q124175293/	suco of East Timor		East Timor
Q124220671	https://www.govdirectory.org/east-timor/Q124220671/	suco of East Timor		East Timor
Q124364201	https://www.govdirectory.org/east-timor/Q124364201/	suco of East Timor		East Timor
Q124478974	https://www.govdirectory.org/east-timor/Q124478974/	suco of East Timor		East Timor
Q124753926	https://www.govdirectory.org/east-timor/Q124753926/	suco of East Timor		East Timor
Q124767875	https://www.govdirectory.org/east-timor/Q124767875/	suco of East Timor		East Timor
