"Name"	"Govdirectory URL"	"Type"	"Website"
""Dr Kenneth Kaunda District Municipality"	"https://www.govdirectory.org/south-africa/Q1150452/"	"district municipality"	"http://www.kaundadistrict.gov.za/"
""Ehlanzeni District Municipality"	"https://www.govdirectory.org/south-africa/Q1244497/"	"district municipality"	"http://www.ledc.co.za/"
""Dr Ruth Segomotsi Mompati District Municipality"	"https://www.govdirectory.org/south-africa/Q1254171/"	"district municipality"	""
""Frances Baard District Municipality"	"https://www.govdirectory.org/south-africa/Q1263830/"	"district municipality"	""
""Uthukela District Municipality"	"https://www.govdirectory.org/south-africa/Q1324549/"	"district municipality"	"http://www.uthukeladm.co.za/uthukela/"
""Fezile Dabi District Municipality"	"https://www.govdirectory.org/south-africa/Q1410315/"	"district municipality"	"http://www.feziledabi.gov.za/"
""Thabo Mofutsanyana District Municipality"	"https://www.govdirectory.org/south-africa/Q1437719/"	"district municipality"	"http://thabomofutsanyanadm.co.za/"
""Gert Sibande District Municipality"	"https://www.govdirectory.org/south-africa/Q1515346/"	"district municipality"	"http://www.gsibande.gov.za/"
""Sekhukhune District Municipality"	"https://www.govdirectory.org/south-africa/Q1544445/"	"district municipality"	"http://www.sekhukhune.gov.za/"
""Umkhanyakude District Municipality"	"https://www.govdirectory.org/south-africa/Q1654018/"	"district municipality"	"http://www.ukdm.gov.za/"
""Alfred Nzo District Municipality"	"https://www.govdirectory.org/south-africa/Q1664120/"	"district municipality"	""
""ZF Mgcawu District Municipality"	"https://www.govdirectory.org/south-africa/Q1773268/"	"district municipality"	""
""West Rand District Municipality"	"https://www.govdirectory.org/south-africa/Q1789890/"	"district municipality"	"http://www.wrdm.gov.za/"
""Lejweleputswa District Municipality"	"https://www.govdirectory.org/south-africa/Q1816477/"	"district municipality"	"http://www.lejwe.co.za/"
""Nkangala District Municipality"	"https://www.govdirectory.org/south-africa/Q1856181/"	"district municipality"	"http://www.nkangaladm.org.za/"
""Pixley ka Seme District Municipality"	"https://www.govdirectory.org/south-africa/Q1886098/"	"district municipality"	"http://www.pixleykasemedm.co.za/"
""Overberg District Municipality"	"https://www.govdirectory.org/south-africa/Q1899307/"	"district municipality"	""
""Cape Winelands District Municipality"	"https://www.govdirectory.org/south-africa/Q1974486/"	"district municipality"	"http://www.capewinelands.gov.za/"
""Ngaka Modiri Molema District Municipality"	"https://www.govdirectory.org/south-africa/Q1984191/"	"district municipality"	"http://www.nmmdm.gov.za/nmm/"
""Xhariep District Municipality"	"https://www.govdirectory.org/south-africa/Q2006764/"	"district municipality"	""
""OR Tambo District Municipality"	"https://www.govdirectory.org/south-africa/Q2007299/"	"district municipality"	""
""Sedibeng District Municipality"	"https://www.govdirectory.org/south-africa/Q2038939/"	"district municipality"	"http://www.sedibeng.gov.za/"
""Ugu District Municipality"	"https://www.govdirectory.org/south-africa/Q2091235/"	"district municipality"	""
""Waterberg District Municipality"	"https://www.govdirectory.org/south-africa/Q2096830/"	"district municipality"	"http://www.waterberg.gov.za/"
""Umzinyathi District Municipality"	"https://www.govdirectory.org/south-africa/Q2226837/"	"district municipality"	"http://www.umzinyathi.gov.za/umzinyathi/"
""Vhembe District Municipality"	"https://www.govdirectory.org/south-africa/Q2305610/"	"district municipality"	"http://www.vhembe.gov.za/"
""Zululand District Municipality"	"https://www.govdirectory.org/south-africa/Q2309262/"	"district municipality"	"http://www.zululand.org.za/"
""West Coast District Municipality"	"https://www.govdirectory.org/south-africa/Q2562901/"	"district municipality"	"http://westcoastdm.co.za/"
""eThekwini Metropolitan Municipality"	"https://www.govdirectory.org/south-africa/Q311544/"	"metropolitan municipality in South Africa"	"http://www.ethekwini.gov.za/"
""City of Ekurhuleni Metropolitan Municipality"	"https://www.govdirectory.org/south-africa/Q326891/"	"metropolitan municipality in South Africa"	"http://www.ekurhuleni.gov.za/"
""Buffalo City Metropolitan Municipality"	"https://www.govdirectory.org/south-africa/Q1002006/"	"metropolitan municipality in South Africa"	"https://www.buffalocity.gov.za/"
""City of Tshwane Metropolitan Municipality"	"https://www.govdirectory.org/south-africa/Q1094207/"	"metropolitan municipality in South Africa"	"http://www.tshwane.gov.za/"
""Mangaung Metropolitan Municipality"	"https://www.govdirectory.org/south-africa/Q1159185/"	"metropolitan municipality in South Africa"	""
""City of Cape Town"	"https://www.govdirectory.org/south-africa/Q1185115/"	"metropolitan municipality in South Africa"	"https://www.capetown.gov.za/"
""Nelson Mandela Bay Metropolitan Municipality"	"https://www.govdirectory.org/south-africa/Q1856565/"	"metropolitan municipality in South Africa"	"http://www.mandelametro.gov.za/"
""City of Johannesburg Metropolitan Municipality"	"https://www.govdirectory.org/south-africa/Q2346838/"	"metropolitan municipality in South Africa"	"http://www.joburg.org.za/"
""Mkhondo Local Municipality"	"https://www.govdirectory.org/south-africa/Q120788/"	"local municipality"	"http://www.mkhondo.gov.za/"
""Mogale City Local Municipality"	"https://www.govdirectory.org/south-africa/Q127787/"	"local municipality"	"http://www.mogalecity.gov.za/"
""uPhongolo Local Municipality"	"https://www.govdirectory.org/south-africa/Q177535/"	"local municipality"	""
""Laingsburg Local Municipality"	"https://www.govdirectory.org/south-africa/Q178591/"	"local municipality"	""
""Jozini Local Municipality"	"https://www.govdirectory.org/south-africa/Q241617/"	"local municipality"	""
""Kareeberg Local Municipality"	"https://www.govdirectory.org/south-africa/Q253683/"	"local municipality"	""
""Phumelela Local Municipality"	"https://www.govdirectory.org/south-africa/Q253979/"	"local municipality"	""
""Umvoti Local Municipality"	"https://www.govdirectory.org/south-africa/Q254505/"	"local municipality"	""
""Kgatelopele Local Municipality"	"https://www.govdirectory.org/south-africa/Q257196/"	"local municipality"	""
""Thembelihle Local Municipality"	"https://www.govdirectory.org/south-africa/Q259411/"	"local municipality"	""
""Msinga Local Municipality"	"https://www.govdirectory.org/south-africa/Q278422/"	"local municipality"	""
""Kou-Kamma Local Municipality"	"https://www.govdirectory.org/south-africa/Q303647/"	"local municipality"	""
""Abaqulusi Local Municipality"	"https://www.govdirectory.org/south-africa/Q304168/"	"local municipality"	""
""eMadlangeni Local Municipality"	"https://www.govdirectory.org/south-africa/Q310008/"	"local municipality"	""
""uMdoni Local Municipality"	"https://www.govdirectory.org/south-africa/Q311662/"	"local municipality"	""
""uMshwathi Local Municipality"	"https://www.govdirectory.org/south-africa/Q311795/"	"local municipality"	""
""uMngeni Local Municipality"	"https://www.govdirectory.org/south-africa/Q311792/"	"local municipality"	""
""uMuziwabantu Local Municipality"	"https://www.govdirectory.org/south-africa/Q311797/"	"local municipality"	""
""uMhlathuze Local Municipality"	"https://www.govdirectory.org/south-africa/Q311800/"	"local municipality"	""
""uMlalazi Local Municipality"	"https://www.govdirectory.org/south-africa/Q311805/"	"local municipality"	"http://www.umlalazi.org.za/"
""eDumbe Local Municipality"	"https://www.govdirectory.org/south-africa/Q311812/"	"local municipality"	""
""ǃKheis Local Municipality"	"https://www.govdirectory.org/south-africa/Q394771/"	"local municipality"	"https://www.kheis.co.za/"
""Sakhisizwe Local Municipality"	"https://www.govdirectory.org/south-africa/Q430520/"	"local municipality"	""
